"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_10010000","Cash Box","10010000","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","库存现金"
"mjb_l10n_cn_10010100","ACR - CASH BOX - CNY CURRENT","10010100","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","库存现金"
"mjb_l10n_cn_10020000","Bank (BK)","10020000","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","银行存款"
"mjb_l10n_cn_10020100","Wage related (Temperary account)","10020100","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","工资相关(期间科目)"
"mjb_l10n_cn_10020110","Wage related (Temperary account - pay salary)","10020110","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","工资相关(期间科目-付工资时)"
"mjb_l10n_cn_10020120","Wage related (Temperary account - pay social insurance)","10020120","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","工资相关(期间科目-付社保时)"
"mjb_l10n_cn_10020130","Wage related (Temperary account - pay HAF)","10020130","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","工资相关(期间科目-付住房公积金时)"
"mjb_l10n_cn_10020200","AIR - ICBC - CNY CURRENT","10020200","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","银行存款"
"mjb_l10n_cn_10020300","AIH - ICBC Foreign Account","10020300","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","银行存款"
"mjb_l10n_cn_10020400","AIY - ICBC - CNY CAPITAL","10020400","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","银行存款"
"mjb_l10n_cn_10020500","APR - ICBC PERSONAL - CNY CURRENT","10020500","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","银行存款"
"mjb_l10n_cn_10020600","AJR","10020600","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","银行存款"
"mjb_l10n_cn_10020700","Interco Transfer (Temperary account)","10020700","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","内部转账(期间科目)"
"mjb_l10n_cn_10020800","Asset disposal related (Temperary account)","10020800","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","固定资产报废相关(期间科目-处置固定资产时)"
"mjb_l10n_cn_10030000","Deposits and required reserve in central bank","10030000","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","存放中央银行款项"
"mjb_l10n_cn_10110000","Store in the same industry","10110000","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","存放同业"
"mjb_l10n_cn_10120000","Other monetary funds","10120000","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","其他货币资金"
"mjb_l10n_cn_10210000","Settlement reserve","10210000","asset_cash","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","结算备付金"
"mjb_l10n_cn_10310000","Refundable deposits","10310000","asset_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_liquidity","存出保证金"
"mjb_l10n_cn_11010000","Tradable Financial Assets","11010000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_trading_financial_assets","交易性金融资产"
"mjb_l10n_cn_11110000","Buying back resale financial assets","11110000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_trading_financial_assets","买入返售金融资产"
"mjb_l10n_cn_11210000","Note receivable","11210000","asset_receivable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_notes_receivable","应收票据"
"mjb_l10n_cn_11220000","Accounts Receivable (AR)","11220000","asset_receivable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_receivable_plus","应收账款"
"mjb_l10n_cn_11220100","AR - Group","11220100","asset_receivable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_receivable_plus","应收账款 - 集团内"
"mjb_l10n_cn_11220200","AR - on services","11220200","asset_receivable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_receivable_plus","应收账款 - 服务"
"mjb_l10n_cn_11220300","AR - on non issued invoices","11220300","asset_receivable","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_receivable_plus","应收账款 - 未开发票"
"mjb_l10n_cn_11230000","Prepayment to supplier","11230000","asset_prepayments","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_prepayments","预付账款"
"mjb_l10n_cn_11310000","Subsidiary and Shares related to subsidiary companies","11310000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_dividend_receivable","应收股利"
"mjb_l10n_cn_11310100","Shares in subsidiary companies","11310100","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_dividend_receivable","应收子公司股利"
"mjb_l10n_cn_11310200","Receivables on subsidiary companies' loans","11310200","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","应收子公司借款"
"mjb_l10n_cn_11320000","Interest accrued","11320000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_interest_receivable","应收利息"
"mjb_l10n_cn_12010000","Subrogation receivable","12010000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","应收代位追偿款"
"mjb_l10n_cn_12110000","Reinsurance accounts receivable","12110000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","应收分保账款"
"mjb_l10n_cn_12120000","Reinsurance accounts undue liability reserves","12120000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","应收分保未到期责任准备金"
"mjb_l10n_cn_12210000","Other receivable","12210000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款"
"mjb_l10n_cn_12210100","Other receivable - Rental Deposit","12210100","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 房租押金"
"mjb_l10n_cn_12210200","Other receivable - Other Deposit","12210200","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 其它押金"
"mjb_l10n_cn_12210300","Other receivable - Advanced payment","12210300","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 其它垫付"
"mjb_l10n_cn_12210400","Other receivable - staff reimbursement","12210400","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 员工报销"
"mjb_l10n_cn_12210500","Cash advanced TO staff","12210500","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 员工预支"
"mjb_l10n_cn_12210600","Other receivable - pay for employees' social insurance","12210600","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 代收代扣员工社保"
"mjb_l10n_cn_12210700","Other receivable - pay for employees' House allowance funds","12210700","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 代收代扣员工住房公积金"
"mjb_l10n_cn_12210800","Other receivable - Others","12210800","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_receivable","其他应收款 - 其他"
